"Name";"Value";"Quantity";"Pattern";"Number of Pins";"RefDes"
"CAP_0805";".33u";"1";"CAP_0805";"2";"C1"
"CBP-SV-C";"33uf 25v";"1";"SV-C";"2";"C2"
"CAP_0805";"0.1uf";"2";"CAP_0805";"2";"C3, C7"
"CAP_0805";".1uf";"1";"CAP_0805";"2";"C4"
"CAP_1210";"33u";"1";"CAP_1210";"2";"C5"
"CAP_0805";"1.0uf";"1";"CAP_0805";"2";"C6"
"CAP_0805";"33uf 25v";"1";"CAP_0805";"2";"C9"
"2x6 Connector";"";"1";"HDR-2x6";"12";"CN1P"
"1x6 Connector";"";"2";"HDR-1x6";"6";"CN1S, JD8-13"
"2x4 Connector";"";"3";"HDR-2x4";"8";"CN2P, I2C, Serial"
"1x4 Connector";"";"3";"HDR-1x4";"4";"CN2S, S4, S5"
"2x8 Connector";"";"1";"HDR-2x8";"16";"CN3P"
"BAT60J";"";"2";"SOD-323";"2";"D1, D2"
"2x2 Connector";"";"1";"HDR-2x2";"4";"GP"
"POWER_JACKPTH";"CP-102A-ND";"1";"POWER_JACK_PTH";"3";"J1"
"PINHD-2X20";"1528-1385-ND";"1";"2X20";"40";"J-RPI"
"WM18887-ND";"WM18887-ND";"6";"BIOLOID-Fix";"3";"JAX1, JAX2, JAX3, JAX4, JAX5, JAX-PWR"
"1x8 Connector";"";"1";"HDR-1x8";"8";"JD0-7"
"LEDCHIPLED_0805";"MF-LED-0805-RED";"2";"CHIPLED_0805";"2";"L1, L2"
"NeoPixel 5mm";"";"1";"NEOPIXEL 5mm - larger holes min silk";"4";"NEO"
"TL3330";"";"4";"TL3330";"2";"PGM, Reset, S1, S2"
"LEDCHIPLED_0805";"MF-LED-0805-GREEN";"1";"CHIPLED_0805";"2";"PWR"
"SUP75P03-07-E3";"SUP75P03-07-E3";"1";"TO-220";"3";"Q2"
"MOSFET-NCHANNELBSS138";"BSS138CT-ND";"1";"SOT23-3";"3";"Q3"
"RES_0805";"100K";"1";"RES_0805";"2";"R1"
"RES_0805";"20K";"1";"RES_0805";"2";"R2"
"RES_0805";"10K";"2";"RES_0805";"2";"R3, R13"
"RES_0805";"20k";"3";"RES_0805";"2";"R4, R19, R24"
"RES_0805";"1K";"3";"RES_0805";"2";"R5, R8, R18"
"RES_0805";"4.7K";"1";"RES_0805";"2";"R6"
"RES_0805";"120";"1";"RES_0805";"2";"R9"
"RES_0805";"10k";"8";"RES_0805";"2";"R10, R11, R12, R14, R16, R20, R21, R22"
"RES_0805";"470";"1";"RES_0805";"2";"R17"
"RES_0402";"0";"1";"RES_0402";"2";"R25"
"2x5 Connector";"";"1";"HDR-2x5";"10";"SPI"
"AST-01508MR-R";"";"1";"AST-01508";"2";"SPKR1"
"74HC1G125GV";"74HC1G125GV";"1";"SOT23-5";"5";"U3"
"Teensy 3.6 Minus";"";"1";"Teensy 3.6 minus";"57";"U4"
"74LVC1G126GV";"74LVC1G126GV";"1";"SOT23-5";"5";"U5"
"LM4862M";"";"1";"SOIC-8/150mil";"8";"U6"
"Pololu DC/DC Converter";"";"1";"Pololu DC DC Converter";"5";"U8"
"";"";"69";"";"248";""
