"RefDes";"Name";"Pattern";"Value";"Number of Pins";"Quantity"
"BNO055";"Adafruit - BNO055";"ADAFruit BNO055";"";"10";"1"
"C2, C3, C9";"CBP-SV-C";"SV-C";"33uf 25v";"2";"3"
"C5";"CAP_1210";"CAP_1210";"33u";"2";"1"
"C7";"CAP_0805";"CAP_0805";"0.1uf";"2";"1"
"CN1P";"2x6 Connector";"HDR-2x6";"";"12";"1"
"CN1S, JD8-13";"1x6 Connector";"HDR-1x6";"";"6";"2"
"CN2P";"2x4 Connector";"HDR-2x4";"";"8";"1"
"CN2S, J2";"1x4 Connector";"HDR-1x4";"";"4";"2"
"CN3P";"2x7 Connector";"HDR-2x7";"";"14";"1"
"CN3S, JRST, JSCL, JSDA";"1x3 Connector";"HDR-1x3";"";"3";"4"
"D5";"DIODE_1206";"SOD-123";"";"2";"1"
"J1";"POWER_JACKPTH";"POWER_JACK_PTH";"";"3";"1"
"J3";"2x2 Connector";"HDR-2x2";"";"4";"1"
"J-RPI";"PINHD-2X20";"2X20";"";"40";"1"
"JAX1, JAX2, JAX3, JAX4, JAX5, JAX6, JAX7, JAX-PWR";"WM18887-ND";"BIOLOID-Fix";"";"3";"8"
"JBSER, JRX, JTX";"1x2 Connector";"HDR-1x2";"";"2";"3"
"JD0-7, JRE";"1x8 Connector";"HDR-1x8";"";"8";"2"
"L2";"LEDCHIPLED_0805";"CHIPLED_0805";"Yellow";"2";"1"
"NEO";"NeoPixel 5mm";"NEOPIXEL 5mm - larger holes min silk";"";"4";"1"
"PWR";"LEDCHIPLED_0805";"CHIPLED_0805";"Green";"2";"1"
"Q1";"T2222";"SOT-23";"MMBT6428";"3";"1"
"Q2";"SUP75P03-07-E3";"TO-220";"";"3";"1"
"Q3";"MOSFET-NCHANNELBSS138";"SOT23-3";"";"3";"1"
"R1, R16";"RES_0805";"RES_0805";"40K";"2";"2"
"R2, R3, R8, R10, R11, R13, R14, R15";"RES_0805";"RES_0805";"10K";"2";"8"
"R4";"RES_0805";"RES_0805";"50";"2";"1"
"R5, R18";"RES_0805";"RES_0805";"1K";"2";"2"
"R6";"RES_0805";"RES_0805";"4.7K";"2";"1"
"R7";"RES_0805";"RES_0805";"268";"2";"1"
"R9";"RES_0805";"RES_0805";"120";"2";"1"
"R17";"RES_0805";"RES_0805";"470";"2";"1"
"Reset, S1, S2";"KMR421NG";"KMR-2";"";"4";"3"
"RST";"M01PTH";"1X01NS-KIT";"";"1";"1"
"SPKR";"SPEAKER";"SPKR KC-1206";"";"2";"1"
"U1";"SN74LV1T125";"SOT23-5";"";"5";"1"
"U2";"DCDC_OKR_T10-W12";"OKR-T/10-W12";"";"5";"1"
"U3";"74HC1G125GV";"SOT23-5";"";"5";"1"
"U4";"TEENSY_3X_MAIN";"TEENSY_3X_MAIN";"";"35";"1"
"U5";"74LVC1G126GV";"SOT23-5";"";"5";"1"
"";"";"";"";"220";"67"
